title,year,director1,director2,actor1,actor2,budget,runtime,nudity,twist,genre1,genre2,mpa,medium,nationality,distribution,watchdate,rewatch,personal_rating,avg_rating,r-direction,r-cinematography,r-score,r-acting,r-screenplay,location,watchon,rental,cost,notes
"The Good, the Bad and the Ugly",1966,Sergio Leone,,Clint Eastood,Wli Wallach,1200000,177,0,0,western,,r,liveaction,italian,pea,20211230,0,8.5,8.64,8,8.5,10,8.7,8,home ,peacock,0,,watched at home over two days 
The Santa Clause,1994,John Pasquin,,Tim Allen,Eric Lloyd,22000000,97,0,0,comedy,holiday,g,liveaction,american,Disney,20211223,1,4,5.1,4.5,4,6,6,5,home ,vha,0,,watched with Justin during Christmas break 
Good Time,2017,Benny Safdie,Josh Safdie,Robert Pattinson,Buddy Duress,4500000,101,0,1,crime,thriller,r,liveaction,american,A24,20211204,1,8,8.2,8.5,9,8,8,7.5,friend,netflix,0,,watched with Kendall
"Planes, Trains and Automobiles",1987,John Hughes,,Steve Martin,John Candy,30000000,92,0,0,comedy,,r,liveaction,american,paramount,20211125,0,7,7.2,7.5,8,5,8,7.5,home,youtube,1,4,watched on Thanksgiving
Spencer,2021,Pablo Larraín,,Kristin Stewart,Timothy Spall,18000000,111,0,0,drama,period,r,liveaction,british/american,neon,20211114,0,7.5,7.7,7.5,7.5,8,8.5,7,theater,theater,2,15,watched with Kendall
What We Do in the Shadows,2014,Taika Waititi,Jemaine Clement,Taika Waititi,Jemaine Clement,1600000,87,0,1,comedy,horror,r,liveaction,kiwi,madman,20211029,1,6.9,6.9,6.5,7,6.5,8.5,6,friend,amazonprime,1,1,watched with Kendall
The Village,2004,M. Night Shyamalan,,Bryce Dallas Howard,Joaquin Pheonix,60000000,108,0,1,thriller,period,pg13,liveaction,american,touchstone,20211024,1,5.5,5.8,5,7,6,6,5,home,hulu,0,,
Dune,2021,Denis Villeneuve,,Timothée Chalamet,Rebecca Ferguson,165000000,155,0,0,scifi,,pg13,liveaction,american,warnerbros,20211022,0,8.5,8.4,8.7,8.5,7.8,8.3,8.7,theater,theater,2,15,watched with Kendall
The Witch,2015,Robert Eggers,,Anya Taylor-Joy,Ralph Ineson,4000000,93,0,1,horror,period,r,liveaction,american/canadian,A24,20211016,1,8.5,8.56,9,7.8,8.5,8.5,9,home,youtube,1,6,watched with Kendall
Nightmare on Elm Street 2: Freddy's Revenge,1985,Jack Sholder,,Mark Patton,Kim Myers,3000000,87,0,1,horror,,r,liveaction,american,newline,20211013,0,7,6.6,6,7,6,8,6,home,hbomax,0,,
Sweeney Todd,2007,Tim Burton,,Jonny Depp,Helena Bonham Carter,50000000,116,0,1,musical,horror,r,liveaction,american/british,dreamworks,20211003,1,7,7.4,7,7,8,7,8,home,youtube,1,4,watched with Kat
The Favourite,2018,Yorgos Lanthimos,,Emma Stone,Rachel Weisz,15000000,119,0,0,comedy,period,r,liveaction,uk,fox,20211002,0,7,7.9,7.5,8,8,9,7,home,youtube,1,4,watched with Kendall and Kat
Once Upon a Time... in Hollywood,2020,Quentin Tarantino,,Leonardo DeCaprio,Brad Pitt,95000000,160,1,1,comedy,drama,r,liveaction,american,columbia,20210912,1,7.5,8.2,8,8,9,8.5,7.5,home,amazonprime,1,4,watched with Kendall
The Omen,1976,Richard Donner,,Gregory Peck,Lee Remick,2800000,111,0,1,horror,mystery,r,liveaction,american/british,fox,20210911,0,7,7.8,8,8.5,8,7,7.5,home,hulu,0,,
Brokeback Mountain,2005,Ang Lee,,Jake Gyllenhaal,Heath Ledger,14000000,134,1,0,romance,western,r,liveaction,american,touchstone,20210909,0,8.5,8.2,8.5,7,8,9,8.5,home,amazonprime,1,4,watched with Kendall
Eraserhead,1977,David Lynch,,Jack Nance,Charlotte Stewart,10000,89,0,0,horror,indie,nr,liveaction,american,afi,20210907,0,8,7.5,8.5,8.5,7,7,6.5,home,hulu,0,,
Hell or High Water,2016,David Mackenzie,,Chris Pine,Jeff Bridges,12000000,102,0,0,crime,western,r,liveaction,american,CBSfilms,20210905,0,5,7.1,6,7.5,8.5,7.5,6,friend,hulu,0,,watched with Eli and Kellen
Reservoir Dogs,1992,Quintin Tarantino,,Harvey Keitel,Tim Roth,1200000,99,0,0,crime,,r,liveaction,american,liveentertainment,20210830,1,6.5,8.1,7.5,8,8,9,8,home,hbomax,0,,watched with Kendall
The Time Traveler's Wife,2009,Robert Schwentke,,Rachael McAdams,Eric Bana,39000000,107,0,0,romance,scifi,pg13,liveaction,american,buenavista,20210817,0,8,7.7,8,8.5,7,6,9,friend,netflix,0,,watched with Kendall
The 6th Sense,1999,M. Night Shyamalan ,,Bruce Willis,Haley Joel Osment,40000000,107,0,1,horror,drama,pg13,liveaction,american,warnerbros,20210814,1,9,8.5,9,8.5,7,9,9,friend ,peacock,0,,watched with Kendall 
They Live,1988,John Carpenter,,Roddy Piper,Keith David,3000000,94,0,1,scifi,,r,liveaction,american,universal,20210810,0,6.5,7.1,7,8,7.5,6,7,friend,peacock,0,,"watched with Kendall, Eli and Anna "
Prince of Darkness,1987,John Carpenter,,Donald Pleasence,Victor Wong,3000000,101,0,1,horror,,r,liveaction,american,universal,20210808,0,6,6.3,6.5,7,7,5,6,home,amazonprime,1,4,
The Terminator,1984,James Cameron,,Arnold Schwarzenegger,Linda Hamilton,6400000,107,1,1,scifi,action,r,liveaction,american,hemdale,20210807,0,7,6.8,6.5,7.5,7,6,7,friend,youtube,0,,watched with Kendall
The Green Knight,2021,David Lowery,,Dev Patel,Alicia Vikander,15000000,130,0,1,fantasy,period,r,liveaction,american,leyline,20210729,0,8.5,8.54,8.7,9.5,8,8,8.5,theater,theater,2,14,watched with Kendall at Cinemark
Twilight: Breaking Dawn Part 2,2012,Bill Condon,,Kristin Stewart,Robert Pattinson,136000000,115,0,1,romance,fantasy,pg13,liveaction,american,summit,20210724,0,6.5,5.4,6.5,6,4.5,5,5,friend,netflix,0,,watched with kendall
The Ritual,2017,David Bruckner,,Rafe Spall,Arsher Ali,1000000,94,0,0,horror,,r,liveaction,british,theimaginarium,20210723,1,7.8,7.36,8,7.5,6,7.8,7.5,home,netflix,0,,watched with Eli 
